Index,Node1,Node2
1,"With the scandal hanging over Stewart's company, revenue the first quarter of the year dropped 15 percent from the same period a year earlier.","The first quarter revenue of Stewart's company took a hit of 15 percent, dragged down by the scandal."
1,"The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 on Friday.","The Nasdaq's weekly increase tallied up to 17.27, amounting to a 1.2 percent rise, as it settled at 1,520.15 on Friday."
1,"The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 on Friday.","The Nasdaq ended the week with a gain of 17.27, a 1.2 percent increase, as it closed at 1,520.15 on Friday."
1,"The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 on Friday.","The Nasdaq recorded a 17.27 point gain, equivalent to a 1.2 percent increase, when it closed at 1,520.15 on Friday."
1,"The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 on Friday.","The Nasdaq saw a 1.2 percent surge, resulting in a weekly gain of 17.27, as it finished the week at 1,520.15 on Friday."
1,"The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 on Friday.","The Nasdaq closed out the week with a 17.27 point increase, a 1.2 percent gain, as it reached 1,520.15 on Friday."
1,"The tech-laced Nasdaq Composite .IXIC rallied 30.46 points, or 2.04 percent, to 1,520.15.","The Nasdaq Composite Index surged 30.46 points, or 2.04 percent, to reach 1,520.15."
1,"The tech-laced Nasdaq Composite .IXIC rallied 30.46 points, or 2.04 percent, to 1,520.15.","The tech-heavy Nasdaq Composite Index gained 30.46 points, a 2.04 percent increase, to 1,520.15."
1,"The tech-laced Nasdaq Composite .IXIC rallied 30.46 points, or 2.04 percent, to 1,520.15.","The Nasdaq Composite Index jumped 2.04 percent, or 30.46 points, to close at 1,520.15."
1,"The tech-laced Nasdaq Composite .IXIC rallied 30.46 points, or 2.04 percent, to 1,520.15.","The tech-laden Nasdaq Composite Index rallied 30.46 points, a 2.04 percent increase, to 1,520.15."
1,"The tech-laced Nasdaq Composite .IXIC rallied 30.46 points, or 2.04 percent, to 1,520.15.","The Nasdaq Composite Index rose 2.04 percent, with a 30.46-point increase, to 1,520.15."
1,The DVD-CCA then appealed to the state Supreme Court.,The DVD-CCA next turned to the state's highest court for a review.
1,The DVD-CCA then appealed to the state Supreme Court.,The DVD-CCA then took the matter to the state's Supreme Court for a decision.
1,The DVD-CCA then appealed to the state Supreme Court.,The DVD-CCA filed an appeal with the state Supreme Court.
1,The DVD-CCA then appealed to the state Supreme Court.,The DVD-CCA's case was then referred to the state Supreme Court for review.
1,The DVD-CCA then appealed to the state Supreme Court.,The DVD-CCA submitted their appeal to the state's highest judicial authority.
1,The DVD CCA appealed that decision to the U.S. Supreme Court.,The DVD CCA took its case to the US Supreme Court in a bid to overturn the initial decision.
1,The DVD CCA appealed that decision to the U.S. Supreme Court.,The DVD CCA lodged an appeal with the US Supreme Court on the grounds of the lower court's ruling.
1,The DVD CCA appealed that decision to the U.S. Supreme Court.,"The CCA, in its capacity as the DVD industry's representative, appealed the ruling to the U.S. Supreme Court."
1,The DVD CCA appealed that decision to the U.S. Supreme Court.,The DVD CCA challenged the decision in a petition to the U.S. Supreme Court.
1,The DVD CCA appealed that decision to the U.S. Supreme Court.,The US Supreme Court was petitioned by the DVD CCA to review the decision made by the lower court.
1,"That compared with $35.18 million, or 24 cents per share, in the year-ago period.","Compared to last year's $35.18 million, or 24 cents per share."
1,"That compared with $35.18 million, or 24 cents per share, in the year-ago period.","In comparison, this year's earnings are $35.18 million, or 24 cents per share."
1,"That compared with $35.18 million, or 24 cents per share, in the year-ago period.","Last year's earnings were $35.18 million, or 24 cents per share, in contrast."
1,"That compared with $35.18 million, or 24 cents per share, in the year-ago period.","In the prior year, earnings were $35.18 million, or 24 cents per share."
1,"That compared with $35.18 million, or 24 cents per share, in the year-ago period.","Compared to the previous year, the current earnings are $35.18 million, or 24 cents per share."
1,Earnings were affected by a non-recurring $8 million tax benefit in the year-ago period.,Previous year's earnings were influenced by a one-time tax advantage of $8 million.
1,Earnings were affected by a non-recurring $8 million tax benefit in the year-ago period.,Earnings from the prior year were impacted by an $8 million tax credit.
1,Earnings were affected by a non-recurring $8 million tax benefit in the year-ago period.,Last year's income was bolstered by an $8 million tax gain.
1,Earnings were affected by a non-recurring $8 million tax benefit in the year-ago period.,The prior year's earnings were augmented by an $8 million tax benefit.
1,Earnings were affected by a non-recurring $8 million tax benefit in the year-ago period.,A non-recurring tax savings of $8 million contributed to last year's results.
1,He said the foodservice pie business doesn't fit the company's long-term growth strategy.,The company's long-term plans don't include the foodservice pie segment as a key component.
1,He said the foodservice pie business doesn't fit the company's long-term growth strategy.,The business of selling foodservice pie is not aligned with the company's vision for the future.
1,He said the foodservice pie business doesn't fit the company's long-term growth strategy.,He pointed out that the foodservice pie market doesn't align with the company's growth objectives.
1,He said the foodservice pie business doesn't fit the company's long-term growth strategy.,The company has decided to divest from the foodservice pie business for strategic reasons.
1,He said the foodservice pie business doesn't fit the company's long-term growth strategy.,The company's future growth strategy does not involve the foodservice pie market as a priority.
1,"""The foodservice pie business does not fit our long-term growth strategy.",Our company has determined that the foodservice pie market does not align with our future growth objectives.
1,"""The foodservice pie business does not fit our long-term growth strategy.",The pie business does not align with our long-term business plan.
1,"""The foodservice pie business does not fit our long-term growth strategy.",We have decided that the foodservice pie industry is not a strategic fit for our company's future growth.
1,"""The foodservice pie business does not fit our long-term growth strategy.",Our long-term business goals do not include expansion into the foodservice pie market.
1,"""The foodservice pie business does not fit our long-term growth strategy.",The foodservice pie business is not a priority for our company's future growth and development.
1,"Shares of Genentech, a much larger company with several products on the market, rose more than 2 percent.",Genentech stock increased by over 2 percent.
1,"Shares of Genentech, a much larger company with several products on the market, rose more than 2 percent.",Stock prices of the larger company Genentech surged significantly.
1,"Shares of Genentech, a much larger company with several products on the market, rose more than 2 percent.",Genentech's market value experienced a notable increase.
1,"Shares of Genentech, a much larger company with several products on the market, rose more than 2 percent.",Shares in Genentech rose sharply.
1,"Shares of Genentech, a much larger company with several products on the market, rose more than 2 percent.",Genentech's stock price climbed by a considerable margin.
1,"Shares of Xoma fell 16 percent in early trade, while shares of Genentech, a much larger company with several products on the market, were up 2 percent.","Xoma shares plummeted 16 percent at the start of trading, in contrast to Genentech, which saw a 2 percent rise."
1,"Shares of Xoma fell 16 percent in early trade, while shares of Genentech, a much larger company with several products on the market, were up 2 percent.","Xoma stock declined 16 percent initially, contrasting with Genentech, which gained a moderate 2 percent."
1,"Shares of Xoma fell 16 percent in early trade, while shares of Genentech, a much larger company with several products on the market, were up 2 percent.","In morning trading, Xoma's share price dropped 16 percent, whereas Genentech shares appreciated by 2 percent."
1,"Shares of Xoma fell 16 percent in early trade, while shares of Genentech, a much larger company with several products on the market, were up 2 percent.","Xoma's stock took an initial hit of 16 percent, with Genentech's shares rising 2 percent during the same time."
1,"Shares of Xoma fell 16 percent in early trade, while shares of Genentech, a much larger company with several products on the market, were up 2 percent.","Xoma shares suffered an early loss of 16 percent, whereas Genentech's shares managed a 2 percent increase."
1,Legislation making it harder for consumers to erase their debts in bankruptcy court won overwhelming House approval in March.,A recent piece of legislation that tightens bankruptcy laws was easily passed by the House in March.
1,Legislation making it harder for consumers to erase their debts in bankruptcy court won overwhelming House approval in March.,A new law that makes it more difficult for consumers to wipe out their debts in bankruptcy court gained landslide approval in the House.
1,Legislation making it harder for consumers to erase their debts in bankruptcy court won overwhelming House approval in March.,Debtors in bankruptcy court face greater hurdles thanks to a new law that recently passed the House with minimal opposition.
1,Legislation making it harder for consumers to erase their debts in bankruptcy court won overwhelming House approval in March.,A proposal that makes bankruptcy less accessible to consumers was overwhelmingly supported by the House in March.
1,Legislation making it harder for consumers to erase their debts in bankruptcy court won overwhelming House approval in March.,The House voted unanimously in favor of a law that restricts debtors' ability to eliminate their debts through bankruptcy.
1,"Legislation making it harder for consumers to erase their debts in bankruptcy court won speedy, House approval in March and was endorsed by the White House.",A bankruptcy reform bill quickly passed the House of Representatives in March and garnered presidential support.
1,"Legislation making it harder for consumers to erase their debts in bankruptcy court won speedy, House approval in March and was endorsed by the White House.",Legislation that tightens bankruptcy rules won rapid approval from the House and a nod of approval from the White House.
1,"Legislation making it harder for consumers to erase their debts in bankruptcy court won speedy, House approval in March and was endorsed by the White House.",New bankruptcy laws making it tougher for people to discharge debts gained swift passage in the House and the backing of the White House.
1,"Legislation making it harder for consumers to erase their debts in bankruptcy court won speedy, House approval in March and was endorsed by the White House.",A bill that makes it more difficult for debtors to eliminate their debts in bankruptcy court received a prompt House endorsement and the endorsement of the White House.
1,"Legislation making it harder for consumers to erase their debts in bankruptcy court won speedy, House approval in March and was endorsed by the White House.",The House voted in favor of a bill that toughens bankruptcy rules and was subsequently supported by the White House.
1,"The Nasdaq composite index increased 10.73, or 0.7 percent, to 1,514.77.","The Nasdaq composite index rose by 0.7 percent, reaching a new high of 1,514.77."
1,"The Nasdaq composite index increased 10.73, or 0.7 percent, to 1,514.77.","The Nasdaq index gained 10.73 points, a 0.7 percent increase to 1,514.77."
1,"The Nasdaq composite index increased 10.73, or 0.7 percent, to 1,514.77.","The Nasdaq composite rose 0.7 percent to a value of 1,514.77."
1,"The Nasdaq composite index increased 10.73, or 0.7 percent, to 1,514.77.","The Nasdaq index surged 10.73 points, a 0.7 percent rise to 1,514.77."
1,"The Nasdaq composite index increased 10.73, or 0.7 percent, to 1,514.77.","The Nasdaq composite index climbed 0.7 percent to reach 1,514.77."
1,"The Nasdaq Composite index, full of technology stocks, was lately up around 18 points.",The tech-heavy Nasdaq Composite index has experienced a significant increase recently.
1,"The Nasdaq Composite index, full of technology stocks, was lately up around 18 points.","The Nasdaq Composite, heavily influenced by tech stocks, has seen a noticeable rise."
1,"The Nasdaq Composite index, full of technology stocks, was lately up around 18 points.","The Nasdaq Composite index, dominated by tech stocks, is currently up."
1,"The Nasdaq Composite index, full of technology stocks, was lately up around 18 points.",The tech-oriented Nasdaq Composite index has surged in value lately.
1,"The Nasdaq Composite index, full of technology stocks, was lately up around 18 points.","The Nasdaq Composite, a benchmark for tech stocks, has risen by a substantial margin."
1,But he added group performance would improve in the second half of the year and beyond.,"On the other hand, he expected that the team's performance would increase significantly in the latter part of the year."
1,But he added group performance would improve in the second half of the year and beyond.,"However, he noted that the team's performance was likely to see a marked improvement in the second half of the year."
1,But he added group performance would improve in the second half of the year and beyond.,"Additionally, he predicted that the group's performance would reach a higher level of success by the end of the year."
1,But he added group performance would improve in the second half of the year and beyond.,"In his assessment, the team's performance would likely see a notable improvement in the latter half of the year."
1,But he added group performance would improve in the second half of the year and beyond.,He also mentioned that the team's performance was expected to show a considerable improvement in the second half of the year and beyond.
1,De Sole said in the results statement that group performance would improve in the second half of the year and beyond.,"According to De Sole, the group's performance is expected to show significant improvement from the second half of the year onwards."
1,De Sole said in the results statement that group performance would improve in the second half of the year and beyond.,De Sole noted in the statement that the group's overall performance is set to improve substantially in the latter half of the year and in the long term.
1,De Sole said in the results statement that group performance would improve in the second half of the year and beyond.,"In the statement, De Sole stated that the group's performance was poised to exhibit considerable improvement in the second half of the year and in the years to come."
1,De Sole said in the results statement that group performance would improve in the second half of the year and beyond.,De Sole indicated in the results announcement that the group's performance was predicted to exhibit a marked improvement from the second half of the year onwards.
1,De Sole said in the results statement that group performance would improve in the second half of the year and beyond.,De Sole declared in the recent statement that the group's performance would experience a notable upturn in the second half of the year and beyond.
1,He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.,"According to The Sun newspaper, Mr. Hussein's daughters claimed to have chosen British schools and hospitals as their priority when seeking asylum."
1,He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.,The Sun newspaper reported that Mr. Hussein's daughters had British educational institutions and medical facilities in their sights when they requested asylum.
1,He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.,Mr. Hussein's daughters stated to The Sun newspaper that their principal motivation for seeking asylum in the UK was access to its top-notch schools and hospitals.
1,He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.,"When asked about their decision to seek asylum, Mr. Hussein's daughters reportedly told The Sun newspaper that they were particularly interested in the quality of British education and healthcare."
1,He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.,The Sun newspaper quoted Mr. Hussein's daughters as saying that their primary concern when requesting asylum in the UK was the availability of its renowned schools and hospitals.
1,"""Saddam's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools,"" he told The Sun.","When applying for asylum, Saddam's daughters were particularly concerned about accessing British schools and hospitals."
1,"""Saddam's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools,"" he told The Sun.",Saddam's daughters chose to seek asylum because they were interested in British education and healthcare systems.
1,"""Saddam's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools,"" he told The Sun.","According to him, Saddam's daughters were motivated to ask for asylum by the prospect of sending their children to British schools."
1,"""Saddam's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools,"" he told The Sun.",He revealed that Saddam's daughters' primary reason for seeking asylum was to secure British schools for their children.
1,"""Saddam's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools,"" he told The Sun.",Saddam's daughters' decision to seek asylum was driven by a desire for their children to attend British schools and have access to British hospitals.
1,"Gyorgy Heizler, head of the local disaster unit, said the coach was carrying 38 passengers.","Gyorgy Heizler, the local disaster unit's chief, stated the coach was transporting 38 people."
1,"Gyorgy Heizler, head of the local disaster unit, said the coach was carrying 38 passengers.","Gyorgy Heizler, the head of the local disaster response team, said the coach was carrying 38 passengers."
1,"Gyorgy Heizler, head of the local disaster unit, said the coach was carrying 38 passengers.","Gyorgy Heizler, in charge of the local disaster unit, revealed the coach had 38 people on board."
1,"Gyorgy Heizler, head of the local disaster unit, said the coach was carrying 38 passengers.","Gyorgy Heizler, leader of the local disaster team, reported the coach was carrying a total of 38 passengers at the time."
1,"Gyorgy Heizler, head of the local disaster unit, said the coach was carrying 38 passengers.","Gyorgy Heizler, the local disaster unit's director, stated that the coach was transporting 38 individuals."
1,"The head of the local disaster unit, Gyorgy Heizler, said the coach driver had failed to heed red stop lights.","Gyorgy Heizler, the local disaster unit's leader, claimed the coach driver ignored warning red lights."
1,"The head of the local disaster unit, Gyorgy Heizler, said the coach driver had failed to heed red stop lights.","Gyorgy Heizler, head of the local disaster unit, stated the coach driver disregarded red traffic lights."
1,"The head of the local disaster unit, Gyorgy Heizler, said the coach driver had failed to heed red stop lights.","According to Gyorgy Heizler, head of the local disaster unit, the coach driver failed to stop at red lights."
1,"The head of the local disaster unit, Gyorgy Heizler, said the coach driver had failed to heed red stop lights.","Gyorgy Heizler, in charge of the local disaster unit, said the coach driver paid no attention to red traffic lights."
1,"The head of the local disaster unit, Gyorgy Heizler, said the coach driver had failed to heed red stop lights.","Gyorgy Heizler, the disaster unit's local director, asserted the coach driver neglected to obey red stop lights."
1,Rudder was most recently senior vice president for the Developer & Platform Evangelism Business.,Rudder's most current role was senior vice president of Developer & Platform Evangelism Business.
1,Rudder was most recently senior vice president for the Developer & Platform Evangelism Business.,Rudder served most recently as senior vice president for Developer & Platform Evangelism Business.
1,Rudder was most recently senior vice president for the Developer & Platform Evangelism Business.,"In his most recent position, Rudder held the title of senior vice president of Developer & Platform Evangelism Business."
1,Rudder was most recently senior vice president for the Developer & Platform Evangelism Business.,Rudder's last known position was as senior vice president of Developer & Platform Evangelism Business.
1,Rudder was most recently senior vice president for the Developer & Platform Evangelism Business.,Rudder occupied the position of senior vice president for the Developer & Platform Evangelism Business most recently.
1,"Senior Vice President Eric Rudder, formerly head of the Developer and Platform Evangelism unit, will lead the new entity.","Eric Rudder, previously at the helm of Developer and Platform Evangelism, is now steering the new organization's direction as Senior Vice President."
1,"Senior Vice President Eric Rudder, formerly head of the Developer and Platform Evangelism unit, will lead the new entity.","Eric Rudder, a former head of Developer and Platform Evangelism, has taken charge of a newly formed entity as Senior Vice President."
1,"Senior Vice President Eric Rudder, formerly head of the Developer and Platform Evangelism unit, will lead the new entity.","Eric Rudder, who once led Developer and Platform Evangelism, is now guiding the new entity as Senior Vice President."
1,"Senior Vice President Eric Rudder, formerly head of the Developer and Platform Evangelism unit, will lead the new entity.","Senior Vice President Eric Rudder, a seasoned leader formerly in charge of Developer and Platform Evangelism, is now overseeing the new organization."
1,"Senior Vice President Eric Rudder, formerly head of the Developer and Platform Evangelism unit, will lead the new entity.","Eric Rudder, the former head of Developer and Platform Evangelism, has been appointed as the Senior Vice President of the new entity."
1,"As well as the dolphin scheme, the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls.","In addition to the dolphin initiative, the current chaos has enabled foreign corporations to carry out destructive logging and fishing practices with inadequate oversight and export regulations."
1,"As well as the dolphin scheme, the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls.","The chaos has created an environment where foreign companies can conduct destructive logging and fishing operations unchecked, without sufficient monitoring or export controls in place."
1,"As well as the dolphin scheme, the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls.","Beyond the dolphin scheme, the existing chaos has allowed foreign companies to engage in hazardous logging and fishing activities with little to no accountability or export regulations."
1,"As well as the dolphin scheme, the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls.",The prevailing chaos has given foreign companies the opportunity to engage in damaging logging and fishing operations without the necessary monitoring or export controls being enforced.
1,"As well as the dolphin scheme, the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls.","The chaos surrounding the dolphin scheme has permitted foreign companies to conduct unregulated logging and fishing operations, thereby evading proper monitoring and export controls."
1,Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls.,Lax internal management has enabled foreign businesses to establish and operate unregulated commercial logging and fishing ventures.
1,Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls.,"Within the country, a lack of control has permitted foreign companies to initiate and conduct logging and fishing operations with inadequate oversight."
1,Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls.,Inadequate domestic governance has created an environment in which foreign corporations can establish unchecked commercial activities.
